Instrument Type,Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs)
FUTCOM,21 Sep 2005,17585,17585,117623.65
FUTCOM,22 Sep 2005,32506,32506,218442.36
FUTCOM,23 Sep 2005,17534,17534,116411.27
FUTCOM,24 Sep 2005,2003,2003,13352.04
FUTCOM,26 Sep 2005,19142,19142,126881.96
FUTCOM,27 Sep 2005,20131,20131,133612.99
FUTCOM,28 Sep 2005,20305,20305,135633.42
FUTCOM,29 Sep 2005,20826,20826,140573.13
FUTCOM,30 Sep 2005,24067,24067,162799.46
FUTCOM,01 Oct 2005,942,942,6353.8
FUTCOM,03 Oct 2005,15694,15694,105369.31
FUTCOM,04 Oct 2005,14107,14107,94916.57
FUTCOM,05 Oct 2005,14436,14436,96869.77
FUTCOM,06 Oct 2005,17368,17368,117402.82
FUTCOM,07 Oct 2005,20797,20797,141658.02
FUTCOM,08 Oct 2005,991,991,6780.95
FUTCOM,10 Oct 2005,16533,16533,113562.75
FUTCOM,11 Oct 2005,11029,11029,75886.34
FUTCOM,12 Oct 2005,14404,14404,99022.07
FUTCOM,13 Oct 2005,15107,15107,103170.05
FUTCOM,14 Oct 2005,15579,15579,105924.83
FUTCOM,15 Oct 2005,1389,1389,9466.88
FUTCOM,17 Oct 2005,11523,11523,78956.85
FUTCOM,18 Oct 2005,12268,12268,84076.61
FUTCOM,19 Oct 2005,19076,19076,130001.61
FUTCOM,20 Oct 2005,11965,11965,81205.86
FUTCOM,21 Oct 2005,14609,14609,99264.61
FUTCOM,22 Oct 2005,974,974,6650.45
FUTCOM,24 Oct 2005,13274,13274,90630.35
FUTCOM,25 Oct 2005,15057,15057,103439.17
FUTCOM,26 Oct 2005,11733,11733,80910.27
FUTCOM,27 Oct 2005,12722,12722,87901.24
FUTCOM,28 Oct 2005,13486,13486,92838.55
FUTCOM,29 Oct 2005,653,653,4503.98
FUTCOM,31 Oct 2005,16186,16186,110923.95
FUTCOM,01 Nov 2005,6602,6602,44876.49
FUTCOM,02 Nov 2005,8747,8747,59333.9
FUTCOM,03 Nov 2005,11457,11457,77775.45
FUTCOM,04 Nov 2005,17652,17652,119759.22
FUTCOM,05 Nov 2005,1039,1039,7034.74
FUTCOM,07 Nov 2005,12097,12097,82129.68
FUTCOM,08 Nov 2005,15237,15237,103959.52
FUTCOM,09 Nov 2005,18912,18912,129980.18
FUTCOM,10 Nov 2005,17261,17261,119351.71
FUTCOM,11 Nov 2005,7085,7085,48907.9
FUTCOM,12 Nov 2005,835,835,5780.33
FUTCOM,14 Nov 2005,13820,13820,95909.6
FUTCOM,15 Nov 2005,9694,9694,67229.01
FUTCOM,16 Nov 2005,22157,22157,155170.53
FUTCOM,17 Nov 2005,26587,26587,189625.17
FUTCOM,18 Nov 2005,23137,23137,166573.89
FUTCOM,19 Nov 2005,1236,1236,8896.22
FUTCOM,21 Nov 2005,15090,15090,109258
FUTCOM,22 Nov 2005,20130,20130,147149.6
FUTCOM,23 Nov 2005,19200,19200,139509.07
FUTCOM,24 Nov 2005,4794,4794,35067.46
FUTCOM,25 Nov 2005,7272,7272,53420.94
FUTCOM,26 Nov 2005,3814,3814,28212.1
FUTCOM,28 Nov 2005,22182,22182,164280.67
FUTCOM,29 Nov 2005,25197,25197,186797.87
FUTCOM,30 Nov 2005,30111,30111,222151.47
FUTCOM,01 Dec 2005,20947,20947,155683.77
FUTCOM,02 Dec 2005,31089,31089,234076.06
FUTCOM,03 Dec 2005,1179,1179,8881.49
FUTCOM,05 Dec 2005,18547,18547,140730.12
FUTCOM,06 Dec 2005,21110,21110,160648.36
FUTCOM,07 Dec 2005,24475,24475,188276.76
FUTCOM,08 Dec 2005,27122,27122,210464.03
