Instrument Type,Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs)
FUTCOM,03 Jan 2007,47107,47107,434657.55
FUTCOM,04 Jan 2007,30111,30111,274163.3
FUTCOM,05 Jan 2007,55064,55064,491885.72
FUTCOM,06 Jan 2007,2552,2552,22617.15
FUTCOM,08 Jan 2007,23268,23268,206097.09
FUTCOM,09 Jan 2007,30907,30907,274153.55
FUTCOM,10 Jan 2007,30504,30504,270639.18
FUTCOM,11 Jan 2007,30417,30417,270661.35
FUTCOM,12 Jan 2007,31332,31332,280432.88
FUTCOM,13 Jan 2007,2691,2691,24499.18
FUTCOM,15 Jan 2007,6887,6887,62479.98
FUTCOM,16 Jan 2007,27244,27244,246189.86
FUTCOM,17 Jan 2007,33104,33104,299280.64
FUTCOM,18 Jan 2007,31229,31229,284902.46
FUTCOM,19 Jan 2007,21751,21751,197728.57
FUTCOM,20 Jan 2007,1451,1451,13294.03
FUTCOM,22 Jan 2007,19660,19660,179931.25
FUTCOM,23 Jan 2007,24701,24701,227466.74
FUTCOM,24 Jan 2007,26960,26960,248858.92
FUTCOM,25 Jan 2007,30144,30144,280530.83
FUTCOM,27 Jan 2007,1688,1688,15693.96
FUTCOM,29 Jan 2007,27696,27696,256544.92
FUTCOM,30 Jan 2007,15589,15589,144427.02
FUTCOM,31 Jan 2007,37925,37925,354187.72
FUTCOM,01 Feb 2007,29354,29354,278162.91
FUTCOM,02 Feb 2007,34865,34865,328334.06
FUTCOM,03 Feb 2007,1282,1282,11993.1
FUTCOM,05 Feb 2007,19373,19373,181945.01
FUTCOM,06 Feb 2007,24794,24794,234041.32
FUTCOM,07 Feb 2007,20415,20415,192798.19
FUTCOM,08 Feb 2007,33870,33870,319383.23
FUTCOM,09 Feb 2007,30184,30184,287794.5
FUTCOM,10 Feb 2007,1204,1204,11552.89
FUTCOM,12 Feb 2007,26830,26830,256121.67
FUTCOM,13 Feb 2007,25953,25953,248306.51
FUTCOM,14 Feb 2007,29796,29796,286073.91
FUTCOM,15 Feb 2007,29193,29193,279820.4
FUTCOM,16 Feb 2007,21050,21050,201437.57
FUTCOM,17 Feb 2007,949,949,9111.01
FUTCOM,19 Feb 2007,9072,9072,87450.07
FUTCOM,20 Feb 2007,36832,36832,351503.5
FUTCOM,21 Feb 2007,41912,41912,400948.95
FUTCOM,22 Feb 2007,27001,27001,262624.12
FUTCOM,23 Feb 2007,30404,30404,297145.19
FUTCOM,24 Feb 2007,1281,1281,12587.27
FUTCOM,26 Feb 2007,30120,30120,296117.8
FUTCOM,27 Feb 2007,61233,61233,598526.84
FUTCOM,28 Feb 2007,62127,62127,599069.77
FUTCOM,01 Mar 2007,55357,55357,533809.39
FUTCOM,02 Mar 2007,74106,74106,698069.79
FUTCOM,03 Mar 2007,2911,2911,27157.49
FUTCOM,05 Mar 2007,47725,47725,442398.91
FUTCOM,06 Mar 2007,30007,30007,280463.25
FUTCOM,07 Mar 2007,29886,29886,280236.81
FUTCOM,08 Mar 2007,26217,26217,247658.37
FUTCOM,09 Mar 2007,35634,35634,335942.86
FUTCOM,10 Mar 2007,1574,1574,14814.48
FUTCOM,12 Mar 2007,33114,33114,310590.21
FUTCOM,13 Mar 2007,27313,27313,255873.14
FUTCOM,14 Mar 2007,40752,40752,377536.97
FUTCOM,15 Mar 2007,29251,29251,272841.18
FUTCOM,16 Mar 2007,27428,27428,257111.37
FUTCOM,17 Mar 2007,1231,1231,11566.69
FUTCOM,19 Mar 2007,18524,18524,174225.74
FUTCOM,20 Mar 2007,28823,28823,271335.45
FUTCOM,21 Mar 2007,19886,19886,187114.63
FUTCOM,22 Mar 2007,25003,25003,236611.73
FUTCOM,23 Mar 2007,32357,32357,304074.3
FUTCOM,24 Mar 2007,1222,1222,11457.34
FUTCOM,26 Mar 2007,21077,21077,197736.6
FUTCOM,27 Mar 2007,14745,14745,138380.58
FUTCOM,28 Mar 2007,24701,24701,232149.48
FUTCOM,29 Mar 2007,30582,30582,288271.4
FUTCOM,30 Mar 2007,28751,28751,271914.52
FUTCOM,02 Apr 2007,28106,28106,265927.01
FUTCOM,03 Apr 2007,20697,20697,196174.2
FUTCOM,04 Apr 2007,27964,27964,265942.7
FUTCOM,05 Apr 2007,13088,13088,124859.13
FUTCOM,06 Apr 2007,756,756,7218.87
FUTCOM,07 Apr 2007,521,521,4976.65
FUTCOM,09 Apr 2007,17218,17218,164104.96
FUTCOM,10 Apr 2007,20438,20438,195591.68
FUTCOM,11 Apr 2007,17493,17493,167341.45
FUTCOM,12 Apr 2007,24431,24431,233205.83
FUTCOM,13 Apr 2007,27616,27616,263986.18
FUTCOM,16 Apr 2007,25473,25473,243443.62
FUTCOM,17 Apr 2007,17150,17150,163512.16
FUTCOM,18 Apr 2007,16410,16410,156459.64
FUTCOM,19 Apr 2007,26560,26560,252100.36
FUTCOM,20 Apr 2007,17069,17069,162294.02
FUTCOM,21 Apr 2007,690,690,6572.12
FUTCOM,23 Apr 2007,20166,20166,191255.42
FUTCOM,24 Apr 2007,34489,34489,324067.78
FUTCOM,25 Apr 2007,17007,17007,157932.78
FUTCOM,26 Apr 2007,35196,35196,321889.57
FUTCOM,27 Apr 2007,23376,23376,213591
FUTCOM,28 Apr 2007,1462,1462,13488
FUTCOM,30 Apr 2007,17078,17078,157254.12
FUTCOM,01 May 2007,16588,16588,151733.64
FUTCOM,02 May 2007,21629,21629,196773.89
FUTCOM,03 May 2007,23913,23913,218675.03
FUTCOM,04 May 2007,28451,28451,261723.65
FUTCOM,05 May 2007,812,812,7495.1
FUTCOM,07 May 2007,16747,16747,154135.45
FUTCOM,08 May 2007,25458,25458,233231.94
FUTCOM,09 May 2007,26932,26932,245935.19
FUTCOM,10 May 2007,35841,35841,325071.71
FUTCOM,11 May 2007,23860,23860,215431.74
FUTCOM,12 May 2007,880,880,7964.7
FUTCOM,14 May 2007,22739,22739,204369.65
FUTCOM,15 May 2007,28652,28652,256550.34
FUTCOM,16 May 2007,28420,28420,253486.06
FUTCOM,17 May 2007,33407,33407,294683.63
FUTCOM,18 May 2007,31027,31027,273236.16
FUTCOM,19 May 2007,1015,1015,8974.24
FUTCOM,21 May 2007,25070,25070,220241.13
FUTCOM,22 May 2007,22111,22111,194124.58
FUTCOM,23 May 2007,23234,23234,203325
FUTCOM,24 May 2007,27745,27745,241690.2
FUTCOM,25 May 2007,17938,17938,155678.4
FUTCOM,26 May 2007,1437,1437,12522.63
FUTCOM,28 May 2007,9203,9203,79834.42
FUTCOM,29 May 2007,31796,31796,276681.97
FUTCOM,30 May 2007,23836,23836,207961.26
FUTCOM,31 May 2007,33119,33119,290668.47
FUTCOM,01 Jun 2007,31432,31432,279972.87
FUTCOM,02 Jun 2007,1503,1503,13462.67
FUTCOM,04 Jun 2007,21744,21744,195351.74
FUTCOM,05 Jun 2007,20064,20064,180234.75
FUTCOM,06 Jun 2007,24776,24776,221975.4
FUTCOM,07 Jun 2007,34188,34188,305214.37
FUTCOM,08 Jun 2007,35443,35443,312597.15
FUTCOM,09 Jun 2007,1236,1236,10872.69
FUTCOM,11 Jun 2007,20962,20962,183892.28
FUTCOM,12 Jun 2007,24540,24540,214210.06
FUTCOM,13 Jun 2007,29027,29027,253200.4
FUTCOM,14 Jun 2007,27254,27254,238527.3
FUTCOM,15 Jun 2007,19148,19148,167936.12
FUTCOM,16 Jun 2007,844,844,7427.6
FUTCOM,18 Jun 2007,20234,20234,178261.33
FUTCOM,19 Jun 2007,24344,24344,214307.83
FUTCOM,20 Jun 2007,20267,20267,178935.71
FUTCOM,21 Jun 2007,33474,33474,292504.69
FUTCOM,22 Jun 2007,23321,23321,203815
FUTCOM,23 Jun 2007,633,633,5542.62
FUTCOM,25 Jun 2007,17236,17236,150389.63
FUTCOM,26 Jun 2007,31460,31460,272916.57
FUTCOM,27 Jun 2007,20727,20727,178795.54
FUTCOM,28 Jun 2007,15865,15865,137419.06
FUTCOM,29 Jun 2007,14843,14843,128769.43
FUTCOM,30 Jun 2007,699,699,6062.42
FUTCOM,02 Jul 2007,20731,20731,180319.18
FUTCOM,03 Jul 2007,17829,17829,155060.44
FUTCOM,04 Jul 2007,4057,4057,35209.68
FUTCOM,05 Jul 2007,28699,28699,247588.19
FUTCOM,06 Jul 2007,32372,32372,278340.34
FUTCOM,07 Jul 2007,1153,1153,10004.42
FUTCOM,09 Jul 2007,22380,22380,194503.75
FUTCOM,10 Jul 2007,24591,24591,214346.7
FUTCOM,11 Jul 2007,19761,19761,172400.8
FUTCOM,12 Jul 2007,28291,28291,247916.01
FUTCOM,13 Jul 2007,21679,21679,190167.6
FUTCOM,14 Jul 2007,577,577,5061.4
FUTCOM,16 Jul 2007,13686,13686,119914.17
FUTCOM,17 Jul 2007,15121,15121,132184.4
FUTCOM,18 Jul 2007,25731,25731,226100.43
FUTCOM,19 Jul 2007,21753,21753,192206.7
FUTCOM,20 Jul 2007,28312,28312,252023.08
FUTCOM,21 Jul 2007,1111,1111,9947.98
FUTCOM,23 Jul 2007,18526,18526,165412.37
FUTCOM,24 Jul 2007,22434,22434,200526.73
FUTCOM,25 Jul 2007,34948,34948,309516.37
FUTCOM,26 Jul 2007,46504,46504,407989.22
FUTCOM,27 Jul 2007,33246,33246,289681.68
FUTCOM,28 Jul 2007,1013,1013,8841.6
FUTCOM,30 Jul 2007,20549,20549,179723.04
FUTCOM,31 Jul 2007,26721,26721,235241.57
FUTCOM,01 Aug 2007,25462,25462,224161.16
FUTCOM,02 Aug 2007,15045,15045,132752.88
FUTCOM,03 Aug 2007,21953,21953,194336.07
FUTCOM,04 Aug 2007,1035,1035,9202.08
FUTCOM,06 Aug 2007,18752,18752,166752.22
FUTCOM,07 Aug 2007,19932,19932,176731.18
FUTCOM,08 Aug 2007,20419,20419,182229.07
FUTCOM,09 Aug 2007,34647,34647,306387.99
FUTCOM,10 Aug 2007,39217,39217,347602
FUTCOM,11 Aug 2007,818,818,7294.15
FUTCOM,13 Aug 2007,15016,15016,133660.9
FUTCOM,14 Aug 2007,19946,19946,177453.01
FUTCOM,16 Aug 2007,44765,44765,397038.94
FUTCOM,17 Aug 2007,28474,28474,252110.94
FUTCOM,18 Aug 2007,815,815,7221.72
FUTCOM,20 Aug 2007,19140,19140,169256.83
FUTCOM,21 Aug 2007,16176,16176,142970.17
FUTCOM,22 Aug 2007,16581,16581,146337.85
FUTCOM,23 Aug 2007,19335,19335,171120.67
FUTCOM,24 Aug 2007,17391,17391,154315.58
FUTCOM,25 Aug 2007,763,763,6800.54
FUTCOM,27 Aug 2007,10240,10240,91292.1
FUTCOM,28 Aug 2007,12783,12783,113758.38
FUTCOM,29 Aug 2007,14044,14044,125112.42
FUTCOM,30 Aug 2007,14670,14670,130783.38
FUTCOM,31 Aug 2007,14453,14453,129078.59
FUTCOM,01 Sep 2007,665,665,5947.63
FUTCOM,03 Sep 2007,2837,2837,25384.24
FUTCOM,04 Sep 2007,22364,22364,201414.17
FUTCOM,05 Sep 2007,16927,16927,153186.84
FUTCOM,06 Sep 2007,31073,31073,283641.42
FUTCOM,07 Sep 2007,40050,40050,370208.55
FUTCOM,08 Sep 2007,865,865,8022.44
FUTCOM,10 Sep 2007,24193,24193,224606.05
FUTCOM,11 Sep 2007,26101,26101,243244.4
FUTCOM,12 Sep 2007,29097,29097,271605.32
FUTCOM,13 Sep 2007,23332,23332,216828.8
FUTCOM,14 Sep 2007,34841,34841,324898.37
FUTCOM,17 Sep 2007,34147,34147,320038.69
FUTCOM,18 Sep 2007,28875,28875,271382.21
FUTCOM,19 Sep 2007,31110,31110,293432.18
FUTCOM,20 Sep 2007,37661,37661,354760.93
FUTCOM,21 Sep 2007,35612,35612,336171.4
FUTCOM,22 Sep 2007,1289,1289,12163.07
FUTCOM,24 Sep 2007,23957,23957,226011.33
FUTCOM,25 Sep 2007,35360,35360,331495.56
FUTCOM,26 Sep 2007,33647,33647,315831.48
FUTCOM,27 Sep 2007,33206,33206,311845.7
FUTCOM,28 Sep 2007,50186,50186,476449.28
FUTCOM,29 Sep 2007,5758,5758,55002.04
FUTCOM,01 Oct 2007,30582,30582,293622.09
FUTCOM,03 Oct 2007,39688,39688,376354.69
FUTCOM,04 Oct 2007,49105,49105,461056.85
FUTCOM,05 Oct 2007,42339,42339,400838.99
FUTCOM,06 Oct 2007,1224,1224,11661.68
FUTCOM,08 Oct 2007,24477,24477,231510.15
FUTCOM,09 Oct 2007,38651,38651,365003.18
FUTCOM,10 Oct 2007,29415,29415,279829.55
FUTCOM,11 Oct 2007,36758,36758,351387.97
FUTCOM,12 Oct 2007,29368,29368,281441.03
FUTCOM,13 Oct 2007,813,813,7797.49
FUTCOM,15 Oct 2007,31995,31995,308933.43
FUTCOM,16 Oct 2007,51983,51983,504824.28
FUTCOM,17 Oct 2007,47997,47997,468567.89
FUTCOM,18 Oct 2007,37975,37975,371495.96
FUTCOM,19 Oct 2007,37363,37363,367829.16
FUTCOM,20 Oct 2007,1051,1051,10361.33
FUTCOM,22 Oct 2007,60711,60711,590827.66
FUTCOM,23 Oct 2007,27758,27758,270682.68
FUTCOM,24 Oct 2007,27928,27928,272069.63
FUTCOM,25 Oct 2007,29096,29096,285758.78
FUTCOM,26 Oct 2007,39643,39643,393686.44
FUTCOM,27 Oct 2007,3604,3604,36136
FUTCOM,29 Oct 2007,41847,41847,421933.06
FUTCOM,30 Oct 2007,33923,33923,339164.28
FUTCOM,31 Oct 2007,33070,33070,331535.15
FUTCOM,01 Nov 2007,45003,45003,452846.08
FUTCOM,02 Nov 2007,46532,46532,470658.13
FUTCOM,03 Nov 2007,2769,2769,28394.04
FUTCOM,05 Nov 2007,29812,29812,304507.91
FUTCOM,06 Nov 2007,41162,41162,426460.66
FUTCOM,07 Nov 2007,67530,67530,714215.79
FUTCOM,08 Nov 2007,45033,45033,475192.48
FUTCOM,09 Nov 2007,6332,6332,66477.85
FUTCOM,10 Nov 2007,617,617,6489.07
FUTCOM,12 Nov 2007,50141,50141,516775.39
FUTCOM,13 Nov 2007,49046,49046,501217.15
FUTCOM,14 Nov 2007,41887,41887,431286.59
FUTCOM,15 Nov 2007,63294,63294,644203.48
FUTCOM,16 Nov 2007,42993,42993,433423.32
FUTCOM,17 Nov 2007,1058,1058,10633.03
FUTCOM,19 Nov 2007,37561,37561,375468.7
FUTCOM,20 Nov 2007,43637,43637,437851.86
FUTCOM,21 Nov 2007,45450,45450,461035.56
FUTCOM,22 Nov 2007,12431,12431,126609.47
FUTCOM,23 Nov 2007,47091,47091,487291.6
FUTCOM,26 Nov 2007,50261,50261,530423.32
FUTCOM,27 Nov 2007,57141,57141,596778.39
FUTCOM,28 Nov 2007,60181,60181,618285.36
FUTCOM,29 Nov 2007,42681,42681,439529.54
FUTCOM,30 Nov 2007,46302,46302,470483.82
FUTCOM,01 Dec 2007,2072,2072,20953.94
FUTCOM,03 Dec 2007,34278,34278,346732.69
FUTCOM,04 Dec 2007,35263,35263,360032.78
FUTCOM,05 Dec 2007,38783,38783,397592.18
FUTCOM,06 Dec 2007,50078,50078,510663.16
FUTCOM,07 Dec 2007,41538,41538,425333.1
FUTCOM,08 Dec 2007,1012,1012,10331.08
FUTCOM,10 Dec 2007,30437,30437,313548
FUTCOM,11 Dec 2007,29450,29450,304364.81
FUTCOM,12 Dec 2007,39722,39722,411038.09
FUTCOM,13 Dec 2007,46160,46160,474382.41
FUTCOM,14 Dec 2007,43106,43106,438165.23
FUTCOM,15 Dec 2007,1146,1146,11655.88
FUTCOM,17 Dec 2007,37809,37809,383374.96
FUTCOM,18 Dec 2007,44378,44378,454308.92
FUTCOM,19 Dec 2007,34796,34796,357075.26
FUTCOM,20 Dec 2007,30450,30450,311354.26
FUTCOM,21 Dec 2007,28338,28338,292078.32
FUTCOM,22 Dec 2007,1666,1666,17270.21
FUTCOM,24 Dec 2007,17317,17317,179352.46
FUTCOM,26 Dec 2007,26090,26090,272256.15
FUTCOM,27 Dec 2007,37060,37060,389710.12
FUTCOM,28 Dec 2007,34760,34760,368246.32
FUTCOM,29 Dec 2007,1198,1198,12768.03
FUTCOM,31 Dec 2007,31408,31408,334442.25
FUTCOM,01 Jan 2008,2373,2373,25179.11
FUTCOM,02 Jan 2008,62440,62440,672475.53
FUTCOM,03 Jan 2008,70043,70043,765434.48
FUTCOM,04 Jan 2008,60361,60361,659537.8
FUTCOM,05 Jan 2008,1207,1207,13168.12
FUTCOM,07 Jan 2008,45115,45115,491203.8
FUTCOM,08 Jan 2008,60221,60221,663394.42
FUTCOM,09 Jan 2008,66063,66063,735868.58
FUTCOM,10 Jan 2008,66011,66011,733763.99
FUTCOM,11 Jan 2008,54688,54688,616609.09
FUTCOM,12 Jan 2008,1960,1960,22185.53
FUTCOM,14 Jan 2008,68024,68024,777378.13
FUTCOM,15 Jan 2008,68232,68232,780478.5
FUTCOM,16 Jan 2008,92543,92543,1038641.21
FUTCOM,17 Jan 2008,61835,61835,692634.45
FUTCOM,18 Jan 2008,55438,55438,617841.55
FUTCOM,19 Jan 2008,1370,1370,15337.1
FUTCOM,21 Jan 2008,39514,39514,438276.19
FUTCOM,22 Jan 2008,92223,92223,1021948.23
FUTCOM,23 Jan 2008,73830,73830,833680.03
FUTCOM,24 Jan 2008,68895,68895,786623.94
FUTCOM,25 Jan 2008,71412,71412,827386.35
FUTCOM,28 Jan 2008,55747,55747,650434.2
FUTCOM,29 Jan 2008,68792,68792,807339.3
FUTCOM,30 Jan 2008,45501,45501,531966.39
FUTCOM,31 Jan 2008,64832,64832,760333.76
FUTCOM,01 Feb 2008,78771,78771,921536.22
FUTCOM,02 Feb 2008,2562,2562,29560.1
FUTCOM,04 Feb 2008,63105,63105,723638.37
FUTCOM,05 Feb 2008,70595,70595,803530.71
FUTCOM,06 Feb 2008,62963,62963,720720.02
FUTCOM,07 Feb 2008,69876,69876,805200.73
FUTCOM,08 Feb 2008,53306,53306,620289.75
FUTCOM,09 Feb 2008,2502,2502,29346.2
FUTCOM,11 Feb 2008,46559,46559,547682.89
FUTCOM,12 Feb 2008,58327,58327,681895.46
FUTCOM,13 Feb 2008,58253,58253,672031.26
FUTCOM,14 Feb 2008,46279,46279,536837.62
FUTCOM,15 Feb 2008,48035,48035,557587.31
FUTCOM,16 Feb 2008,1706,1706,19703.8
FUTCOM,18 Feb 2008,17715,17715,204813.54
FUTCOM,19 Feb 2008,59303,59303,696929.47
FUTCOM,20 Feb 2008,58363,58363,691752.07
FUTCOM,21 Feb 2008,55931,55931,675826.37
FUTCOM,22 Feb 2008,49321,49321,595317.16
FUTCOM,23 Feb 2008,1446,1446,17495.5
FUTCOM,25 Feb 2008,53409,53409,645475.71
FUTCOM,26 Feb 2008,54585,54585,655214.09
FUTCOM,27 Feb 2008,55660,55660,680659.67
FUTCOM,28 Feb 2008,45047,45047,551866.79
FUTCOM,29 Feb 2008,46462,46462,574801.35
FUTCOM,01 Mar 2008,1695,1695,21065.83
FUTCOM,03 Mar 2008,45643,45643,575145.61
FUTCOM,04 Mar 2008,49313,49313,620520.28
FUTCOM,05 Mar 2008,70112,70112,880929.27
FUTCOM,06 Mar 2008,62067,62067,789255.7
FUTCOM,07 Mar 2008,53367,53367,677900.23
FUTCOM,08 Mar 2008,1408,1408,17852.18
FUTCOM,10 Mar 2008,48237,48237,609274.5
FUTCOM,11 Mar 2008,54867,54867,695991.37
FUTCOM,12 Mar 2008,43930,43930,556641.7
FUTCOM,13 Mar 2008,54972,54972,707440.27
FUTCOM,14 Mar 2008,49449,49449,639913.86
FUTCOM,15 Mar 2008,3044,3044,39682.45
FUTCOM,17 Mar 2008,66693,66693,883535.95
FUTCOM,18 Mar 2008,44050,44050,577196.24
FUTCOM,19 Mar 2008,73406,73406,929637.38
FUTCOM,20 Mar 2008,61185,61185,737874.26
FUTCOM,24 Mar 2008,49299,49299,589700.56
FUTCOM,25 Mar 2008,41473,41473,500008.09
FUTCOM,26 Mar 2008,44271,44271,541784.97
FUTCOM,27 Mar 2008,41142,41142,504970.59
FUTCOM,28 Mar 2008,46337,46337,560148.54
FUTCOM,29 Mar 2008,2520,2520,30263.71
FUTCOM,31 Mar 2008,51212,51212,616976.17
FUTCOM,01 Apr 2008,53542,53542,623072.53
FUTCOM,02 Apr 2008,39121,39121,451906.94
FUTCOM,03 Apr 2008,42556,42556,496338.26
FUTCOM,04 Apr 2008,29473,29473,345710.33
FUTCOM,05 Apr 2008,1347,1347,15939.63
FUTCOM,07 Apr 2008,30041,30041,357562.87
FUTCOM,08 Apr 2008,35466,35466,420391.1
FUTCOM,09 Apr 2008,46419,46419,550440.73
FUTCOM,10 Apr 2008,44037,44037,529890.56
FUTCOM,11 Apr 2008,37126,37126,443445.35
FUTCOM,12 Apr 2008,1324,1324,15854.19
FUTCOM,14 Apr 2008,15799,15799,189269.81
FUTCOM,15 Apr 2008,30071,30071,361716.97
FUTCOM,16 Apr 2008,38236,38236,463708.96
FUTCOM,17 Apr 2008,35523,35523,433301.36
FUTCOM,18 Apr 2008,35632,35632,421800.5
FUTCOM,19 Apr 2008,1897,1897,22490.96
FUTCOM,21 Apr 2008,40796,40796,484285.89
FUTCOM,22 Apr 2008,33238,33238,394827.22
FUTCOM,23 Apr 2008,42126,42126,496070.3
FUTCOM,24 Apr 2008,48928,48928,570263.86
FUTCOM,25 Apr 2008,42536,42536,491532.81
FUTCOM,26 Apr 2008,1215,1215,14032.58
FUTCOM,28 Apr 2008,25636,25636,297597.67
FUTCOM,29 Apr 2008,35997,35997,415413.65
FUTCOM,30 Apr 2008,41787,41787,476771.89
FUTCOM,01 May 2008,30054,30054,338209.97
FUTCOM,02 May 2008,37711,37711,424004.39
FUTCOM,03 May 2008,1197,1197,13535.35
FUTCOM,05 May 2008,22804,22804,259969.7
FUTCOM,06 May 2008,30699,30699,355047.69
FUTCOM,07 May 2008,27678,27678,320973.32
FUTCOM,08 May 2008,35640,35640,419120.23
FUTCOM,09 May 2008,41039,41039,485872.68
FUTCOM,10 May 2008,1337,1337,15904.93
FUTCOM,12 May 2008,31919,31919,380783.88
FUTCOM,13 May 2008,39015,39015,462228.94
FUTCOM,14 May 2008,33320,33320,394948.97
FUTCOM,15 May 2008,50519,50519,605682.96
FUTCOM,16 May 2008,48084,48084,587237.06
FUTCOM,17 May 2008,2567,2567,31689.92
FUTCOM,19 May 2008,22395,22395,277420.79
FUTCOM,20 May 2008,40506,40506,505998.87
FUTCOM,21 May 2008,44312,44312,563142.52
FUTCOM,22 May 2008,52993,52993,680307.21
FUTCOM,23 May 2008,33472,33472,426284.84
FUTCOM,24 May 2008,1184,1184,15086.83
FUTCOM,26 May 2008,8439,8439,107598.34
FUTCOM,27 May 2008,42603,42603,540501.9
FUTCOM,28 May 2008,50398,50398,624655.32
FUTCOM,29 May 2008,53243,53243,652592.75
FUTCOM,30 May 2008,43236,43236,523915.47
FUTCOM,31 May 2008,3635,3635,44365.03
FUTCOM,02 Jun 2008,40146,40146,489279.02
FUTCOM,03 Jun 2008,36908,36908,450542.61
FUTCOM,04 Jun 2008,39937,39937,486112.98
FUTCOM,05 Jun 2008,45262,45262,548385.78
FUTCOM,06 Jun 2008,47882,47882,589162.82
FUTCOM,07 Jun 2008,2707,2707,33942.75
FUTCOM,09 Jun 2008,47234,47234,590855.97
FUTCOM,10 Jun 2008,52169,52169,639724.11
FUTCOM,11 Jun 2008,43973,43973,535511.61
FUTCOM,12 Jun 2008,48630,48630,585439.56
FUTCOM,13 Jun 2008,47014,47014,567769.28
FUTCOM,14 Jun 2008,1035,1035,12540.57
FUTCOM,16 Jun 2008,44882,44882,550156.49
FUTCOM,17 Jun 2008,47028,47028,577356.99
FUTCOM,18 Jun 2008,44336,44336,546723.1
FUTCOM,19 Jun 2008,54790,54790,682814.33
FUTCOM,20 Jun 2008,45255,45255,567649.19
FUTCOM,21 Jun 2008,961,961,12045.82
FUTCOM,23 Jun 2008,52540,52540,652223.69
FUTCOM,24 Jun 2008,47797,47797,591038.81
FUTCOM,25 Jun 2008,49961,49961,613378.69
FUTCOM,26 Jun 2008,57972,57972,722729.33
FUTCOM,27 Jun 2008,53695,53695,684702.57
FUTCOM,28 Jun 2008,1668,1668,21427.66
FUTCOM,30 Jun 2008,50825,50825,655696.57
FUTCOM,01 Jul 2008,68350,68350,893411.5
FUTCOM,02 Jul 2008,58302,58302,764566.16
FUTCOM,03 Jul 2008,51070,51070,671114.9
FUTCOM,04 Jul 2008,11372,11372,148109.8
FUTCOM,05 Jul 2008,756,756,9862.71
FUTCOM,07 Jul 2008,56500,56500,728530.39
FUTCOM,08 Jul 2008,59380,59380,766855.9
FUTCOM,09 Jul 2008,50240,50240,647786.49
FUTCOM,10 Jul 2008,49696,49696,646927.48
FUTCOM,11 Jul 2008,57604,57604,762824.88
FUTCOM,12 Jul 2008,1709,1709,22835.33
FUTCOM,14 Jul 2008,59037,59037,790074.73
FUTCOM,15 Jul 2008,85620,85620,1166325.4
FUTCOM,16 Jul 2008,72675,72675,981559.79
FUTCOM,17 Jul 2008,82959,82959,1107222.41
FUTCOM,18 Jul 2008,68464,68464,906989.42
FUTCOM,19 Jul 2008,1281,1281,16932.3
FUTCOM,21 Jul 2008,50186,50186,667496.03
FUTCOM,22 Jul 2008,81140,81140,1077841.78
FUTCOM,23 Jul 2008,93615,93615,1197955.31
FUTCOM,24 Jul 2008,67837,67837,856738.94
FUTCOM,25 Jul 2008,58081,58081,738030.69
FUTCOM,26 Jul 2008,1951,1951,24832.22
FUTCOM,28 Jul 2008,52773,52773,672756.08
FUTCOM,29 Jul 2008,60034,60034,764367.72
FUTCOM,30 Jul 2008,85399,85399,1064492.76
FUTCOM,31 Jul 2008,66591,66591,842826.17
FUTCOM,01 Aug 2008,59725,59725,751743.04
FUTCOM,02 Aug 2008,1264,1264,15917.04
FUTCOM,04 Aug 2008,55705,55705,698914.23
FUTCOM,05 Aug 2008,60739,60739,743094.04
FUTCOM,06 Aug 2008,59422,59422,722364.12
FUTCOM,07 Aug 2008,61294,61294,743312.65
FUTCOM,08 Aug 2008,66133,66133,786710.73
FUTCOM,09 Aug 2008,1828,1828,21636.04
FUTCOM,11 Aug 2008,79571,79571,933047.93
FUTCOM,12 Aug 2008,78855,78855,894211.02
FUTCOM,13 Aug 2008,70043,70043,805927.74
FUTCOM,14 Aug 2008,72070,72070,836215.1
FUTCOM,16 Aug 2008,9055,9055,101559.98
FUTCOM,18 Aug 2008,66483,66483,757919.51
FUTCOM,19 Aug 2008,70424,70424,806755.85
FUTCOM,20 Aug 2008,70753,70753,823443.51
FUTCOM,21 Aug 2008,66116,66116,776543.65
FUTCOM,22 Aug 2008,54432,54432,637907.14
FUTCOM,23 Aug 2008,2095,2095,24494.01
FUTCOM,25 Aug 2008,52234,52234,611662.87
FUTCOM,26 Aug 2008,67318,67318,787626.31
FUTCOM,27 Aug 2008,54372,54372,641716.18
FUTCOM,28 Aug 2008,59961,59961,711318.25
FUTCOM,29 Aug 2008,41631,41631,494405.85
FUTCOM,30 Aug 2008,1732,1732,20601.94
FUTCOM,01 Sep 2008,24234,24234,287640.28
FUTCOM,02 Sep 2008,74949,74949,872049.83
FUTCOM,03 Sep 2008,37796,37796,439350.92
FUTCOM,04 Sep 2008,58351,58351,679643.14
FUTCOM,05 Sep 2008,80735,80735,940273.7
FUTCOM,06 Sep 2008,2045,2045,23864.87
FUTCOM,08 Sep 2008,66228,66228,775012.77
FUTCOM,09 Sep 2008,79398,79398,918848.09
FUTCOM,10 Sep 2008,75632,75632,864780.11
FUTCOM,11 Sep 2008,76848,76848,864723.84
FUTCOM,12 Sep 2008,48815,48815,553646.24
FUTCOM,13 Sep 2008,3424,3424,39077.29
FUTCOM,15 Sep 2008,82749,82749,959659.4
FUTCOM,16 Sep 2008,81886,81886,961313.85
